('IEREI\n', 2.5625049777911646)
('IEREC\n', 2.385241770966731)
('IEREU\n', 2.385241770966731)
('MEREI\n', 2.176894708579829)
('PEREI\n', 2.176894708579829)
('SEREI\n', 2.176894708579829)
('VEREI\n', 2.176894708579829)
('IERBI\n', 2.0676905059401745)
('IERNI\n', 2.0676905059401745)
('IERTI\n', 2.0676905059401745)
('ICREI\n', 2.0576879478867593)
('IDREI\n', 2.0576879478867593)
('AEREZ\n', 1.9996315017553954)
('BEREA\n', 1.9996315017553954)
('BERET\n', 1.9996315017553954)
('CEREA\n', 1.9996315017553954)
('CEREM\n', 1.9996315017553954)
('DEREA\n', 1.9996315017553954)
('DEREG\n', 1.9996315017553954)
('DERES\n', 1.9996315017553954)
('FEREA\n', 1.9996315017553954)
('FEREC\n', 1.9996315017553954)
('GERET\n', 1.9996315017553954)
('GEREZ\n', 1.9996315017553954)
('MEREM\n', 1.9996315017553954)
('MEREU\n', 1.9996315017553954)
('PEREE\n', 1.9996315017553954)
('PEREN\n', 1.9996315017553954)
('PEREU\n', 1.9996315017553954)
('TEREN\n', 1.9996315017553954)
('XERES\n', 1.9996315017553954)
('ZEREA\n', 1.9996315017553954)
('IERHA\n', 1.8904272991157411)
('IERHE\n', 1.8904272991157411)
('IERNA\n', 1.8904272991157411)
('IERTA\n', 1.8904272991157411)
('IERTE\n', 1.8904272991157411)
('IERUL\n', 1.8904272991157411)
('IURES\n', 1.8804247410623258)
('AERAI\n', 1.6820802367288386)
('BERCI\n', 1.6820802367288386)
('BERII\n', 1.6820802367288386)
('CERBI\n', 1.6820802367288386)
('CERCI\n', 1.6820802367288386)
('CERGI\n', 1.6820802367288386)
('CERII\n', 1.6820802367288386)
('CERNI\n', 1.6820802367288386)
('CERSI\n', 1.6820802367288386)
('CERTI\n', 1.6820802367288386)
('CERUI\n', 1.6820802367288386)
('DERBI\n', 1.6820802367288386)
('FERII\n', 1.6820802367288386)
('FERMI\n', 1.6820802367288386)
('GERAI\n', 1.6820802367288386)
('GERUI\n', 1.6820802367288386)
('JERUI\n', 1.6820802367288386)
('KERII\n', 1.6820802367288386)
('LEROI\n', 1.6820802367288386)
('LERUI\n', 1.6820802367288386)
('MERGI\n', 1.6820802367288386)
('MERII\n', 1.6820802367288386)
('MERSI\n', 1.6820802367288386)
('NERVI\n', 1.6820802367288386)
('PERII\n', 1.6820802367288386)
('PERJI\n', 1.6820802367288386)
('PERSI\n', 1.6820802367288386)
('SERAI\n', 1.6820802367288386)
('SERBI\n', 1.6820802367288386)
('SERII\n', 1.6820802367288386)
('SERPI\n', 1.6820802367288386)
('SERUI\n', 1.6820802367288386)
('SERVI\n', 1.6820802367288386)
('TERCI\n', 1.6820802367288386)
('TERII\n', 1.6820802367288386)
('TERNI\n', 1.6820802367288386)
('TERTI\n', 1.6820802367288386)
('VERGI\n', 1.6820802367288386)
('VERII\n', 1.6820802367288386)
('VERMI\n', 1.6820802367288386)
('VERSI\n', 1.6820802367288386)
('VERUI\n', 1.6820802367288386)
('VERZI\n', 1.6820802367288386)
('ACREI\n', 1.6720776786754235)
('AUREI\n', 1.6720776786754235)
('BAREI\n', 1.6720776786754235)
('BUREI\n', 1.6720776786754235)
('CAREI\n', 1.6720776786754235)
('COREI\n', 1.6720776786754235)
('CUREI\n', 1.6720776786754235)
('DAREI\n', 1.6720776786754235)
('DUREI\n', 1.6720776786754235)
('EVREI\n', 1.6720776786754235)
('HAREI\n', 1.6720776786754235)
('HOREI\n', 1.6720776786754235)
('KOREI\n', 1.6720776786754235)
('LIREI\n', 1.6720776786754235)
('MAREI\n', 1.6720776786754235)
('MIREI\n', 1.6720776786754235)
('MOREI\n', 1.6720776786754235)
('MUREI\n', 1.6720776786754235)
